archivo,accion,destino,nuevo_nombre,motivo,bytes,fecha
Baez & Saint - Mermaid Of Love (Original Mix).mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,14885760,2025-10-27
Baez & Saint - Proibido (Streaming Edit).wav,MOVER,Facu/DJ/Sin clasificar,,track suelto,62983520,2025-10-27
Baez & Saint - Wadodu (Original Mix).mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,13363199,2025-10-27
Balanka - Birkin Bags (Extended Mix) [Club Sweat].mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,16645600,2026-05-20
Banner Superior.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),228775,2026-03-18
Banner YTB -.png,MOVER,Paseo Nordelta/Youtube,,material del canal de YouTube del Paseo (todo del 07/01/2026),3403600,2026-01-07
Banner YTB op5.png,MOVER,Paseo Nordelta/Youtube,,material del canal de YouTube del Paseo (todo del 07/01/2026),2856006,2026-01-07
Banner YTB.png,MOVER,Paseo Nordelta/Youtube,,material del canal de YouTube del Paseo (todo del 07/01/2026),3697952,2026-01-07
Banner correo.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),201351,2026-03-18
Banner-AD.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),1415977,2024-11-22
Before - Logos,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),2241690,2026-04-27
Before - Logos.zip,BORRAR,,,zip ya descomprimido: mismo contenido que 'Before - Logos',2004066,2026-04-27
"Ben Westbeech, Dunmore Brothers - Trust Me feat. Ben Westbeech (Original Mix) [Solid Grooves Records].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,13058434,2026-06-12
Bigfett Zamna Brasil - Drop Reels 1.MOV,MOVER,Productoras/Astronomy/Eventos/Boiler Room (Futura:Big Fett) ,,"material Big Fett / Futura, mar 2025",105944734,2025-03-10
Bigfett_Zamna Open Air.mp4,MOVER,Productoras/Astronomy/Eventos/Boiler Room (Futura:Big Fett) ,,"material Big Fett / Futura, mar 2025",49001220,2025-03-10
"Birds of Mind, ramyen, Juliann - Long Kiss Goodnight (Original Mix) [Knee Deep In Sound].aiff",MOVER,Facu/DJ/Sin clasificar,,track suelto,67625756,2025-10-14
Bitch We're Not The Same (Super Virginia Cigarette Master).wav,PREGUNTAR,,,3 masters .wav (mar 2026): ¿tracks tuyos? ¿van a PRODUCCIÓN o a Sin City?,77117710,2026-03-27
Blanco.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,foto/captura de eventos (subagente): Logo texto ASTRONOMY fondo negro (alta),286368,2025-07-18
"Bob Marley & The Wailers, FISHER (OZ) - Jamming (FISHER Rework) [Tuff Gong].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,8386473,2025-12-27
Bombo-Logo (2).png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),52680,2025-03-10
C9897.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),402801527,2025-11-13
C9902.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),537021721,2025-11-13
C9903.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),537021399,2025-11-14
C9904.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),537021271,2025-11-14
C9913.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),469911779,2025-11-14
C9915.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),604131647,2025-11-13
C9925.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),201471911,2025-11-13
C9934.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),201473226,2025-11-13
C9935.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),201473226,2025-11-13
C9936.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),134363410,2025-11-13
C9940.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),134363410,2025-11-13
C9941.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),268582566,2025-11-13
C9942.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),671244084,2025-11-13
C9944.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),671244560,2025-11-13
C9948.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),402801770,2025-11-13
C9949.MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),537021010,2025-11-13
CAMU SET,MOVER,Facu/DJ/Musica,,playlist bajada de Drive,344906805,2024-05-28
CAMU SET-20240528T184549Z-001.zip,BORRAR,,,zip ya descomprimido: mismo contenido que 'CAMU SET',344702069,2024-05-28
CBU Nordelta Plaza.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,3951,2023-09-27
CC Las Carolas 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,72680,2024-06-11
CC Las Carolas 2024.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,70199,2024-06-04
CC Nordelta Plaza 2025.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,72543,2025-06-21
CEDULA 1 - NFV983.pdf,MOVER,Facu/Documentos/Auto NFV983,,"documentación del auto NFV983 (cédula, registro, póliza, RTO, DNI del titular anterior)",130511,2026-01-28
CM Alquiler NP - AGO'23.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,55233,2023-10-05
CM Rec gs NP-AGO'23.pdf,MOVER,Nordelta Plaza/Principio de mes/Facturas & Rec de Gastos,,factura / recupero de gastos NDPL SAS,55368,2023-10-05
CONTRATO DE LOCACIÃ_N CON DESTINO COMERCIAL - NORDELTA PLAZA (V. GPG FEBRERO 09 2024).docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,26615,2024-02-14
CONTRATO DE LOCACION RIDERS V9-11.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,105839,2023-10-27
CONTRATO DE LOCACIÓN CON DESTINO COMERCIAL - NORDELTA PLAZA V GPG.docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,27756,2024-03-04
CONTRATO DE LOCACIÓN VOLTA + KIOSKO -2020 VERSIONAL FINAL (1).pdf,BORRAR,,,duplicado exacto (md5) de: Contrato de locación - VOLTA + OPEN 25.pdf,192989,2025-12-05
CONTRATO DE LOCACIÓN VOLTA + KIOSKO -2020 VERSIONAL FINAL.pdf,BORRAR,,,duplicado exacto (md5) de: Contrato de locación - VOLTA + OPEN 25.pdf,192989,2023-10-27
CONTRATO LOCACIÓN STAND SUCRE FOOD - NDPL 2022 - ULTIMO.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,194082,2025-12-05
CUIT SUNRA.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,103820,2023-10-27
Calculos Medidores '23- CORREGIDO.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,103339,2023-09-26
CamScanner 10-17-2022 19.59.pdf,PREGUNTAR,,,"escaneo de 10 páginas de 2022, sin texto",7927519,2023-10-27
Cashflow mensual '2023 v 25-4.xlsx,MOVER,Nordelta Plaza/Informes ND Plaza,,proyección / cashflow / informe de Nordelta Plaza,30998,2023-04-26
Cashflow mensual '2023 v 26-4.xlsx,MOVER,Nordelta Plaza/Informes ND Plaza,,proyección / cashflow / informe de Nordelta Plaza,31590,2023-04-27
"ChatGPT Image Jan 14, 2026, 06_54_59 PM.png",MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),519672,2026-01-14
"ChatGPT Image Jan 14, 2026, 07_05_14 PM.png",MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),397343,2026-01-14
"ChatGPT Image Jan 14, 2026, 07_06_23 PM.png",MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,fotos de fiesta 28/03/2025 / logos 'Rompecabezas' (enero 2026),450588,2026-01-14
"ChatGPT Image Jan 29, 2026, 08_30_46 PM.png",MOVER,Productoras/Astronomy/Marca Astronomy/Logos/Prototipos : Ideas,,pruebas de logo Astronomy con calavera y sables (ChatGPT),187821,2026-01-29
"ChatGPT Image Jan 29, 2026, 08_32_17 PM.png",MOVER,Productoras/Astronomy/Marca Astronomy/Logos/Prototipos : Ideas,,pruebas de logo Astronomy con calavera y sables (ChatGPT),447603,2026-01-29
"ChatGPT Image Jan 29, 2026, 08_49_46 PM.png",MOVER,Productoras/Astronomy/Marca Astronomy/Logos/Prototipos : Ideas,,pruebas de logo Astronomy con calavera y sables (ChatGPT),808276,2026-01-29
"ChatGPT Image Jan 29, 2026, 08_50_00 PM.png",MOVER,Productoras/Astronomy/Marca Astronomy/Logos/Prototipos : Ideas,,pruebas de logo Astronomy con calavera y sables (ChatGPT),1094152,2026-01-29
"ChatGPT Image Jun 10, 2026, 10_16_39 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,2144593,2026-06-10
"ChatGPT Image Jun 10, 2026, 10_26_09 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,2315958,2026-06-10
"ChatGPT Image Jun 10, 2026, 10_35_32 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,1960456,2026-06-10
"ChatGPT Image Jun 10, 2026, 10_37_16 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,1956630,2026-06-10
"ChatGPT Image Jun 10, 2026, 10_42_32 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,1951232,2026-06-10
"ChatGPT Image Jun 10, 2026, 10_45_15 PM.png",MOVER,Productoras/Astronomy/Academia/Fotos del estudio,,renders de opciones para el estudio (mismo día que las fotos del estudio) / videos del estudio mar 2025,1900411,2026-06-10
Claude (1).dmg,BORRAR,,,duplicado exacto (md5) de: Claude.dmg,259741019,2026-04-01
Claude Code Full Course,MOVER,Facu/Formación,,"cursos, guías, IA",340453250,2026-07-24
Claude.dmg,BORRAR,,,instalador: la app ya está instalada o se baja de nuevo,259741019,2026-04-01
Club Futbol mensura.dwg,MOVER,Paseo Nordelta/Documentación/Obra /PLANOS,,plano / mensura,1125909,2026-01-21
Comprobante Caro Z oct 2023.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6227,2023-10-02
Comprobante Electricista Marzo 2024.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6218,2024-03-15
Comprobante FE - AXRSTFUNYZ39503402.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/2026/Abril 2026,,"Soda Belén (agua), 03/04/2026",43383,2026-05-13
Comprobante FE - JGXLWKQAV039926962.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/2026/Mayo 2026,,"Soda Belén (agua), 02/05/2026",43154,2026-05-08
Comprobante Honorarios CZ .pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6229,2023-10-27
Comprobante Pei Febrero 2025.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6218,2025-03-14
Comprobante RAW Marzo 2025.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6224,2025-03-14
Comprobante de pago RAW Febrero 2024.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6216,2024-02-14
Comprobante-TransferenciasInmediatasBBVA-10073494004240319.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6207,2024-03-19
Comprobante-TransferenciasInmediatasBBVA-50100173005260219.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6218,2026-02-19
Comprobante-TransferenciasInmediatasOtrasEntidades-10128305005251212.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6215,2025-12-12
Comprobante-TransferenciasInmediatasOtrasEntidades-10134809005260106.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6229,2026-01-06
Comprobante-TransferenciasInmediatasOtrasEntidades-10146918005251112.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6315,2025-11-12
Comprobante-TransferenciasInmediatasOtrasEntidades-10155039005251114.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6311,2025-11-14
Comprobante-TransferenciasInmediatasOtrasEntidades-10165761005260115.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6321,2026-01-15
Comprobante-TransferenciasInmediatasOtrasEntidades-10165764005260115.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6323,2026-01-15
Comprobante-TransferenciasInmediatasOtrasEntidades-10202924005260105.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6325,2026-01-05
Comprobante-TransferenciasInmediatasOtrasEntidades-50107656005260106.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6218,2026-01-06
Comprobante-TransferenciasInmediatasOtrasEntidades-50148527005260115.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6324,2026-01-15
Comprobante-TransferenciasInmediatasOtrasEntidades-50148531005260115.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6323,2026-01-15
Comprobante-TransferenciasInmediatasOtrasEntidades-50151606004260108.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6220,2026-01-08
Comprobante-TransferenciasInmediatasOtrasEntidades-50157722005251215.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6310,2025-12-15
Comprobante-TransferenciasInmediatasOtrasEntidades-50163319005251219.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6310,2025-12-19
Comprobante-eCheqEmitido-10079409005251107.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6181,2025-11-07
Comprobante-eCheqEmitido-50029460005240221.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6175,2024-02-21
Comprobante-eCheqEmitido-50112713005260120.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6179,2026-01-20
Comprobante-eCheqEndosado-10126401003260120.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6085,2026-01-20
Comprobante-eCheqEndosado-50093041003251107.pdf,MOVER,Nordelta Plaza/Comprobantes de pago,,comprobante BBVA / Macro de Nordelta Plaza SAS o Noreventos,6085,2025-11-07
Comprobante_Pago_10895260_Automotor (1).pdf,MOVER,Facu/Documentos/Auto NFV983,,"documentación del auto NFV983 (cédula, registro, póliza, RTO, DNI del titular anterior)",46611,2026-01-28
Contrato - Aybak Productions.pdf,MOVER,Productoras/Astronomy/Marca Astronomy/Contratos y propuestas,,"Aybak Producciones / Music studio, 2023",53826,2023-10-09
Contrato Atruckon firmado por Casa Momma.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,4204034,2023-10-27
Contrato Fabric 2 Firmado.pdf,MOVER,Paseo Nordelta/Documentación/Contratos,,contrato / anexo / reglamento del Paseo (MAHNI),5568384,2025-12-05
Contrato Volta-NE'19 (1).pdf,BORRAR,,,duplicado exacto (md5) de: Contrato Volta-NE'19.pdf,4333517,2025-12-05
Contrato Volta-NE'19.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,4333517,2024-06-03
Contrato de Comodato Mahni 3-12-2025 .doc,MOVER,Paseo Nordelta/Documentación/Contratos,,contrato / anexo / reglamento del Paseo (MAHNI),64512,2025-12-11
Contrato de Locacioìn con Destino Comercial- ENERGYPHARMA S.R.L. MARZO 2024 (ENERGY NUTRITION).docx,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,36757,2024-03-20
Contrato de locación - ATRUCKON firmado por Casa Momma.pdf,BORRAR,,,duplicado exacto (md5) de: Contrato Atruckon firmado por Casa Momma.pdf,4204034,2023-09-26
Contrato de locación - STAND SUCRE FOOD (Astor + La Jaula).pdf,BORRAR,,,duplicado exacto (md5) de: CONTRATO LOCACIÓN STAND SUCRE FOOD - NDPL 2022 - ULTIMO.pdf,194082,2023-09-26
Contrato de locación - VOLTA + OPEN 25.pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,192989,2023-09-26
Contrato locación - FABRICA DEL TACO .pdf,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,195235,2023-09-26
Contratos-20240117T204532Z-001.zip,MOVER,Nordelta Plaza/Contratos Locatarios,,contrato / adenda / rescisión de locatario de Nordelta Plaza,20297797,2024-01-17
Copas De Plástico Para Vino X 1 Y 1_2 Docena No Descart.pdf,BORRAR,,,comprobante de compra en MercadoLibre de 2024/2025,56404,2024-02-02
Copy of 345A0014.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),6389676,2024-05-31
Copy of 345A0018.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),3248644,2024-05-31
Copy of 345A0051.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),4369862,2024-05-31
Copy of 345A0097.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),7237917,2024-05-31
Copy of 345A0104.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),4174323,2024-05-31
Copy of 345A0105.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),5096891,2024-05-31
Copy of 345A0106.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),4226308,2024-05-31
Copy of 345A0109.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),3123951,2024-05-31
Copy of 345A0110.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),5185619,2024-05-31
Copy of 345A0126.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),3310241,2024-05-31
"Crazy Town, bradeazy - Butterfly 2026 (Extended Mix) [Boom Records LLC].aiff",MOVER,Facu/DJ/Sin clasificar,,track suelto,41783794,2026-05-23
"Crazy Town, bradeazy - Butterfly 2026 (Extended Mix) [Boom Records LLC].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,9559711,2026-06-12
Create_a_20_second_vertical_ci.mp4,MOVER,Facu/E-COMMERCE $$$,,videos verticales generados con IA el 30/06/2026 (creativos de e-commerce),4578937,2026-06-30
Credencial_20947520580 (202605).pdf,MOVER,Facu/Documentos/AFIP,,"AFIP/ARCA personal (CUIT 20-94752058-0): F.1746 devoluciones, credencial, factura propia, pago, W-9",13824,2026-04-16
Cta Cte Fabrica del Taco Diciembre 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,31791,2024-01-02
Cuadrado-AD.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),2182300,2024-11-22
Cuenta Corriente LFDT - 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,29872,2023-11-19
Cuenta Corriente Volta + Open 25 - 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,25449,2023-11-07
Cuentas Corrientes Locatarios Nordelta Plaza - 2023 (1).xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,133323,2023-11-14
Cuentas Corrientes Locatarios Nordelta Plaza - 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,133301,2023-11-07
Cuentas Corrientes Noviembre 2023.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,25353,2023-11-29
DEPARTAMENTO - SHINY DISCO BALLS (Extended Mix) [TROUBLE DANCING].mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,12100184,2026-05-09
DNI 1 - POLO .jpg,MOVER,Facu/Documentos/Auto NFV983,,"documentación del auto NFV983 (cédula, registro, póliza, RTO, DNI del titular anterior)",92365,2026-01-28
DOCUMENTACION A PRESENTAR INGRESO DE PLANOS 20122023.docx,MOVER,Paseo Nordelta/Documentación/Municipales,,permiso municipal y formularios de obra,798473,2026-06-17
DOMO.png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,foto/captura de eventos (subagente): Poster Dome Native Beach Club evento (alta),1335456,2026-05-03
DONT BLINK - LEFT TO RIGHT (Extended Mix) [The Myth of NYX].mp3,MOVER,Facu/DJ/Sin clasificar,,track suelto,12394359,2026-05-23
DSC00821.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,foto/captura de eventos (subagente): Foto DJ evento pantalla visual (alta),3508079,2026-07-24
DSC00830.jpg,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,foto/captura de eventos (subagente): Foto DJ evento pantalla proyeccion (alta),7923022,2026-07-24
"David Guetta, MARTEN HØRGER, Men Machine - The Past, The Present, The Future (Extended Mix) [SPINNIN' RECORDS].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,9841486,2026-05-20
Dálmata Gin_Logotipo (negativo).png,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),10693,2024-10-14
Depeche Mode - Dream On (Made In TLV Remix).wav,MOVER,Facu/DJ/Sin clasificar,,track suelto,68133778,2024-01-03
Docker.dmg,BORRAR,,,instalador: la app ya está instalada o se baja de nuevo,573976729,2026-08-10
"Dodi, Adam Ten - We Are (Extended Mix) [Experts Only].mp3",MOVER,Facu/DJ/Sin clasificar,,track suelto,12774907,2026-05-20
Dra Mallon .pdf,MOVER,Facu/Documentos,,tesis / universidad / salud / formulario de alta cliente,100736,2026-07-13
Drop 4 - Scenarios (FEED).MP4,MOVER,Productoras/Astronomy/Eventos/_sin-evento-asignado,,material de eventos sin evento identificado (Facu asigna),128463791,2025-11-12
Ds x Vtas y Provs al 31-10-2023 NDPL.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,14440,2023-12-21
E1 - PRESUPUESTO.pdf,MOVER,Paseo Nordelta/Documentación/Obra ,,presentación comercial / presupuesto de demolición / fotos de locales / propuesta APEX (wellness),33843,2026-07-01
ENCOMIENDA PROFESIONAL 20122023.docx,MOVER,Paseo Nordelta/Documentación/Municipales,,permiso municipal y formularios de obra,804398,2026-06-17
ESTIPULADO NDPL.xlsx,MOVER,Nordelta Plaza/Principio de mes/Cuentas Corrientes ,,cuenta corriente / expensas / medidores de Nordelta Plaza,10513,2025-09-02
Early Bird.png,MOVER,Productoras/Astronomy/Academia/Contenido,,contenido / flyers de la academia,1683862,2023-10-23
Edenor Astor agosto 2025.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547705,2025-12-15
Edenor Chiringuito agosto 2025.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),630696,2025-12-15
Edenor La Jaula agosto 2025.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),547495,2025-12-15
Edenor julio 2025 Astor.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546590,2025-12-15
Edenor julio 2025 Chiringuito.pdf,MOVER,Paseo Nordelta/Principio de mes/Facturas de Compra/Edenor/2025,,Edenor 2025 (a nombre de Noreventos; mismos 14 medidores),546354,2025-12-15
